team1,team2,team1_score,team2_score,team1_raids_total,team2_raids_total,team1_tackle_total,team2_tackle_total,team1_tackles_unsuccessful,team2_tackles_unsuccessful,team1_raids_unsuccessful,team2_raids_unsuccessful,team1_super_raids,team2_super_raids,team1_super_tackles,team2_super_tackles,toss_winner,toss_selection,home_team_id,home_team_name,winner
Gujarat Fortunegiants,Haryana Steelers,40,31,44,43,26,24,11,19,8,15,1,1,0,3,28,Choice of court :Right,31,Gujarat Fortunegiants,Gujarat Fortunegiants
Bengaluru Bulls,Bengal Warriors,31,33,43,43,21,26,18,19,7,4,1,2,0,0,4,Choice of court :Left,1,Bengaluru Bulls,Bengal Warriors
Jaipur Pink Panthers,Puneri Paltan,30,30,42,43,20,19,9,10,10,12,0,0,1,1,3,Choice of court :Right,,,Match Tied
U Mumba,Dabang Delhi K.C.,39,23,41,40,25,21,11,16,6,16,0,0,1,0,2,Choice of court :Left,,,U Mumba
Bengaluru Bulls,Tamil Thalaivas,36,22,43,43,22,26,9,18,8,14,0,0,0,1,29,Choice of court :Left,1,Bengaluru Bulls,Bengaluru Bulls
Bengaluru Bulls,Patna Pirates,32,35,40,41,22,28,15,19,10,8,0,0,0,1,1,Choice of court :Right,1,Bengaluru Bulls,Patna Pirates
Dabang Delhi K.C.,Haryana Steelers,27,34,39,40,20,22,11,9,13,11,0,0,0,0,28,Choice of court :Left,,,Haryana Steelers
Tamil Thalaivas,Telugu Titans,31,25,44,44,21,14,8,8,9,14,1,0,2,4,8,Choice of court :Left,,,Tamil Thalaivas
Haryana Steelers,Puneri Paltan,33,35,42,42,27,25,17,17,8,10,0,1,0,0,28,Choice of court :Right,,,Puneri Paltan
Bengal Warriors,Telugu Titans,30,32,41,40,25,21,18,14,8,8,,,,,8,Choice of court :Left,,,Telugu Titans
Bengaluru Bulls,Telugu Titans,34,26,44,44,22,23,9,12,11,13,0,0,0,1,8,Choice of court :Left,1,Bengaluru Bulls,Bengaluru Bulls
Puneri Paltan,Gujarat Fortunegiants,20,35,42,42,21,18,11,4,15,12,0,0,2,0,7,Choice of court :Right,,,Gujarat Fortunegiants
Bengaluru Bulls,Bengal Warriors,37,44,41,41,30,26,24,17,10,7,0,1,0,0,1,Choice of court :Right,1,Bengaluru Bulls,Bengal Warriors
Dabang Delhi K.C.,Jaipur Pink Panthers,48,35,43,43,27,32,18,28,4,10,1,1,0,0,2,Choice of court :Right,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Tamil Thalaivas,Patna Pirates,35,35,44,43,22,26,16,19,8,6,0,0,2,0,29,Choice of court :Right,,,Match Tied
Dabang Delhi K.C.,U Mumba,34,41,41,41,25,25,18,15,10,8,0,3,1,0,2,Choice of court :Right,2,Dabang Delhi K.C.,U Mumba
U Mumba,Gujarat Fortunegiants,36,26,43,44,26,19,10,11,8,17,0,0,1,0,5,Choice of court :Right,,,U Mumba
